Frame Number,Moving Density,Queue Density
1,0,0
2,37,1113
3,21,1171
4,21,1271
5,18,1350
6,14,1366
7,22,1379
8,19,1448
9,36,1442
10,45,1457
11,23,1460
12,36,1453
13,18,1491
14,47,1446
15,58,1454
16,29,1448
17,29,1423
18,56,1438
19,23,1417
20,23,1374
21,73,1394
22,47,1388
23,51,1404
24,131,1412
25,18,1442
26,45,1472
27,246,1496
28,52,1527
29,105,1546
30,176,1563
31,58,1576
32,77,1563
33,115,1558
34,63,1544
35,71,1536
36,119,1524
37,50,1518
38,55,1521
39,112,1520
40,56,1526
41,41,1495
42,105,1499
43,61,1470
44,49,1462
45,89,1444
46,66,1447
47,58,1446
48,47,1452
49,72,1426
50,78,1423
51,3,1431
52,82,1414
53,84,1426
54,1,1427
55,85,1431
56,72,1436
57,2,1448
58,87,1403
59,105,1435
60,1,1437
61,108,1449
62,102,1449
63,0,1446
64,114,1435
65,101,1436
66,0,1447
67,91,1455
68,95,1451
69,2,1459
70,87,1433
71,88,1415
72,0,1431
73,74,1444
74,41,1443
75,0,1444
76,2,1439
77,2,1441
78,0,1446
79,3,1439
80,22,1464
81,2,1489
82,10,1490
83,8,1526
84,24,1537
85,24,1537
86,47,1573
87,71,1603
88,56,1647
89,52,1674
90,72,1689
91,45,1726
92,43,1736
93,96,1725
94,23,1700
95,51,1712
96,142,1715
97,45,1681
98,41,1671
99,116,1668
100,33,1661
101,53,1676
102,117,1654
103,28,1673
104,28,1688
105,128,1680
106,49,1698
107,67,1758
108,104,1757
109,80,1835
110,89,1860
111,95,1887
112,142,1917
113,111,1938
114,60,1909
115,126,1972
116,138,2005
117,146,2023
118,159,2019
119,148,2012
120,121,1941
121,155,1946
122,174,1934
123,142,1961
124,175,1942
125,202,1946
126,75,1952
127,196,1937
128,198,1908
129,13,1920
130,123,1939
131,70,1890
132,1,1916
133,99,1895
134,100,1874
135,0,1861
136,80,1888
137,130,1874
138,9,1865
139,125,1872
140,128,1849
141,2,1869
142,132,1855
143,105,1841
144,0,1846
145,129,1794
146,98,1811
147,0,1819
148,51,1803
149,15,1794
150,0,1797
151,16,1769
152,17,1793
153,0,1778
154,6,1764
155,3,1762
156,0,1757
157,9,1759
158,3,1754
159,0,1739
160,2,1748
161,0,1742
162,0,1734
163,0,1738
164,0,1723
165,0,1729
166,0,1728
167,0,1704
168,0,1705
169,2,1719
170,8,1677
171,0,1696
172,5,1678
173,0,1663
174,0,1683
175,1,1640
176,0,1659
177,0,1657
178,1,1680
179,0,1673
180,0,1684
181,0,1646
182,0,1656
183,0,1647
184,0,1647
185,0,1687
186,0,1664
187,0,1675
188,0,1670
189,0,1669
190,0,1672
191,0,1661
192,0,1657
193,0,1657
194,0,1665
195,13,1689
196,0,1685
197,0,1693
198,0,1700
199,0,1697
200,0,1701
201,0,1702
202,0,1702
203,0,1718
204,0,1717
205,0,1718
206,0,1707
207,0,1708
208,0,1698
209,0,1705
210,0,1708
211,0,1721
212,0,1716
213,0,1715
