Frame Number,Moving Density,Queue Density
1,0,0
2,178,4457
3,61,4479
4,28,4565
5,287,4618
6,15,4654
7,141,4650
8,154,4711
9,174,4700
10,108,4713
11,131,4666
12,155,4612
13,225,4561
14,5,4488
15,210,4477
16,71,4465
17,123,4434
18,309,4461
19,41,4481
20,137,4398
21,0,4421
22,153,4454
23,192,4468
24,372,4477
25,8,4497
26,124,4449
27,0,4426
28,47,4432
29,185,4481
30,340,4477
31,176,4486
32,303,4433
33,1,4431
34,0,4449
35,418,4436
36,217,4445
37,127,1983
38,231,4474
39,235,4475
40,55,4470
41,0,4489
42,23,4494
43,338,4528
44,109,4541
45,146,4552
46,305,4562
47,0,4580
48,193,4590
49,237,4591
50,18,4597
51,151,4605
52,94,4604
53,107,4602
54,0,4604
55,84,4616
56,0,4623
57,172,4619
58,108,4626
59,141,4629
60,242,4619
61,63,4627
62,45,4628
63,0,4629
64,204,4645
65,0,4633
66,160,4649
67,178,4654
68,164,4643
69,134,4639
70,1,4625
71,0,4631
72,72,4633
73,75,4639
74,0,4629
75,0,4634
76,207,4627
77,99,4623
78,0,4640
79,3,4648
80,0,4644
81,0,4646
82,148,4663
83,87,4698
84,16,4730
85,54,4752
86,64,4734
87,26,4748
88,259,4778
89,11,4714
90,2,4710
91,95,4645
92,55,4593
93,71,4573
94,93,4563
95,101,4573
96,28,4610
97,43,4620
98,85,4657
99,165,4640
100,127,4659
101,122,4652
102,128,4652
103,147,4629
104,154,4640
105,125,4673
106,179,4694
107,188,4767
108,260,4782
109,182,4840
110,270,4886
111,337,4916
112,169,4947
113,176,4979
114,76,4974
115,249,4977
116,257,5005
117,120,5033
118,118,5048
119,309,5041
120,57,5077
121,328,5046
122,151,5006
123,58,4981
124,65,4964
125,56,4931
126,181,4946
127,346,4881
128,521,4836
129,247,4823
130,379,4832
131,102,4821
132,76,4814
133,181,4808
134,51,4828
135,3,4837
136,478,4847
137,91,4846
138,3,4823
139,313,4787
140,140,4793
141,221,4812
142,449,4836
143,296,4864
144,0,4845
145,282,4841
146,36,4828
147,0,4830
148,80,4804
149,326,4799
150,66,4787
151,236,4789
152,228,4763
153,0,4764
154,242,4750
155,193,4750
156,37,4750
157,188,4749
158,196,4741
159,0,4739
160,122,4721
161,157,4732
162,0,4737
163,193,4749
164,0,4724
165,0,4740
166,80,4721
167,146,4722
168,0,4707
169,19,4715
170,15,4684
171,2,4659
172,8,4660
173,6,4663
174,0,4652
175,58,4665
176,5,4648
177,0,4646
178,0,4645
179,0,4636
180,0,4649
181,0,4670
182,1,4691
183,0,4685
184,1,4677
185,19,4703
186,0,4690
187,0,4691
188,0,4705
189,0,4711
190,0,4706
191,0,4707
192,0,4694
193,0,4711
194,0,4703
195,0,4695
196,0,4702
197,0,4720
198,0,4700
199,0,4713
200,0,4718
201,0,4713
202,0,4726
203,0,4728
204,0,4721
205,0,4732
206,0,4724
207,0,4728
208,0,4723
209,0,4721
210,0,4717
211,0,4721
212,0,4712
213,0,4716
214,11,4714
215,0,4701
216,0,4700
217,0,4702
218,0,4700
219,0,4699
220,0,4682
221,0,4672
222,0,4674
223,0,4662
224,16,4665
225,0,4672
226,0,4669
227,0,4673
228,0,4680
229,0,4682
230,29,4680
231,0,4691
232,0,4691
233,0,4694
234,0,4699
235,1,4697
236,10,4697
237,0,4708
238,0,4704
239,33,4695
240,0,4687
241,10,4661
242,0,4661
243,0,4664
244,0,4666
245,0,4661
246,0,4669
247,0,4670
248,0,4673
249,0,4667
250,0,4671
251,0,4672
252,0,4681
253,0,4688
254,0,4688
255,0,4683
256,6,4683
257,0,4676
258,0,4682
259,0,4680
260,0,4677
261,0,4671
262,0,4676
263,0,4675
264,0,4679
265,0,4682
266,0,4676
267,0,4682
268,0,4685
269,0,4690
270,0,4660
271,0,4662
272,0,4663
273,0,4663
274,0,4662
275,0,4671
276,0,4688
277,2,4688
278,0,4688
279,0,4683
280,0,4673
281,0,4671
282,0,4678
283,0,4675
284,0,4672
285,0,4668
286,0,4670
287,0,4664
288,0,4675
289,0,4686
290,0,4693
291,0,4691
292,0,4694
293,0,4698
294,0,4699
295,32,4696
296,0,4693
297,0,4690
298,0,4688
299,0,4704
300,0,4698
301,0,4696
302,0,4701
303,0,4690
304,0,4702
305,0,4704
306,0,4708
307,0,4705
308,0,4710
309,0,4713
310,1,4707
311,8,4712
312,3,4701
313,15,4707
314,27,4706
315,0,4705
316,23,4708
317,8,4710
318,0,4709
319,0,4698
320,57,4664
321,16,4668
322,44,4667
323,0,4665
324,0,4659
325,0,4668
326,0,4666
327,0,4678
328,0,4681
329,0,4677
330,0,4676
331,0,4681
332,0,4683
333,0,4682
334,0,4682
335,0,4684
336,0,4687
337,0,4685
338,0,4685
339,0,4691
340,0,4701
341,34,4719
342,22,4728
343,34,4722
344,18,4725
345,70,4739
346,20,4738
347,4,4741
348,15,4748
349,27,4742
350,2,4729
351,0,4719
352,0,4710
353,0,4694
354,0,4690
355,0,4697
356,17,4710
357,121,4722
358,0,4730
359,13,4729
360,131,4735
361,0,4739
362,81,4750
363,98,4756
364,82,4767
365,0,4763
366,0,4768
367,136,4758
368,171,4749
369,158,4752
370,238,4762
371,1,4769
372,146,4764
373,197,4772
374,183,4763
375,72,4758
376,0,4765
377,189,4772
378,0,4763
379,198,4760
380,35,4760
381,25,4763
382,0,4761
383,178,4755
384,8,4751
385,124,4756
386,9,4757
387,17,4758
388,0,4757
389,92,4759
390,1,4757
391,84,4772
392,55,4778
393,0,4781
394,28,4777
395,2,4792
396,0,4791
397,0,4773
398,5,4786
399,135,4774
400,121,4763
401,138,4769
402,0,4783
403,1,4781
404,210,4778
405,249,4771
406,3,4761
407,244,4726
408,267,4723
409,246,4727
410,0,4731
411,0,4747
412,55,4745
413,5,4756
414,135,4746
415,117,4759
416,95,4771
417,108,4740
418,154,4730
419,0,4758
420,0,4759
421,7,4767
422,186,4783
423,0,4791
424,0,4769
425,188,4768
426,519,4763
427,501,4754
428,220,4752
429,159,4755
430,235,4736
431,0,4687
432,442,4699
433,0,4700
434,70,4713
435,241,4696
436,679,4682
437,362,4644
438,0,4654
439,575,4648
440,315,4653
441,272,4669
442,181,4661
443,602,4623
444,340,4628
445,397,4557
446,245,4520
447,393,4525
448,378,4528
449,100,4532
450,250,4522
451,5,4509
452,267,4494
453,91,4503
454,673,4468
455,0,4455
456,195,4449
457,311,4460
458,412,4458
459,39,4467
460,29,4476
461,353,4447
462,21,4443
463,263,4432
464,241,4423
465,16,4433
466,271,4422
467,99,4429
468,1,4420
469,0,4411
470,158,4333
471,0,4339
472,41,4347
473,51,4343
474,0,4373
475,0,4347
476,0,4354
477,0,4352
478,3,4343
479,44,4341
480,0,4346
481,7,4320
482,0,4327
483,0,4314
484,0,4330
485,5,4342
486,0,4326
487,0,4310
488,0,4302
489,0,4310
490,0,4311
491,0,4311
492,0,4291
493,0,4301
494,0,4316
495,12,4249
496,0,4277
497,0,4266
498,0,4264
499,7,4260
500,25,4249
501,109,4227
502,54,4198
503,31,4232
504,61,4258
505,163,4360
506,291,4429
507,249,4468
508,302,4529
509,212,4537
510,175,4561
511,111,4600
512,182,4630
513,257,4634
514,297,4705
515,208,4691
516,406,4696
517,96,4661
518,168,4639
519,316,4659
520,193,4603
521,237,4588
522,289,4573
523,158,4549
524,292,4544
525,57,4534
526,60,4527
527,274,4503
528,39,4486
529,82,4480
530,11,4458
531,4,4459
532,149,4457
533,151,4443
534,170,4435
535,103,4412
536,18,4404
537,263,4383
538,174,4337
539,174,4282
540,78,4272
541,97,4246
542,128,4211
543,75,4192
544,73,4189
545,153,4200
546,76,4210
547,17,4238
548,197,4267
549,0,4280
550,263,4324
551,27,4345
552,35,4363
553,17,4377
554,3,4363
555,21,4354
556,241,4386
557,357,4421
558,0,4433
559,13,4447
560,80,4459
561,0,4455
562,7,4450
563,60,4483
564,0,4471
565,0,4473
566,0,4464
567,0,4484
568,0,4493
569,98,4532
570,35,4538
571,127,4557
572,5,4591
573,0,4589
574,0,4613
575,91,4638
576,0,4651
577,1,4672
578,0,4698
579,0,4726
580,0,4745
581,204,4738
582,183,4734
583,256,4734
584,258,4734
585,0,4745
586,1,4751
587,0,4762
588,0,4777
589,0,4776
590,0,4777
591,16,4764
592,36,4752
593,347,4716
594,0,4724
595,3,4678
596,366,4695
597,128,4696
598,6,4725
599,140,4698
600,147,4688
601,14,4643
602,127,4602
603,93,4580
604,218,4543
605,358,4499
606,87,4495
607,195,4494
608,335,4487
609,56,4486
610,439,4465
611,161,4434
612,83,4426
613,398,4468
614,12,4497
615,88,4512
616,321,4511
617,359,4538
618,20,4538
619,333,4566
620,314,4520
621,18,4544
622,215,4583
623,475,4627
624,15,4641
625,142,4684
626,55,4702
627,0,4713
628,132,4717
629,77,4742
630,0,4756
631,418,4774
632,94,4781
633,10,4798
634,104,4819
635,37,4868
636,1,4888
637,35,4925
638,338,4921
639,94,4923
640,514,4932
641,85,4963
642,0,4983
643,189,5003
644,191,5032
645,30,5020
646,118,5055
647,236,5109
648,23,5112
649,117,5140
650,147,5146
651,10,5136
652,107,5140
653,170,5167
654,27,5140
655,220,5121
656,197,5125
657,21,5125
658,10,5090
659,215,5079
660,0,5075
661,169,5089
662,112,5111
663,4,5099
664,146,5127
665,10,5149
666,0,5170
667,29,5191
668,76,5195
669,18,5210
670,40,5184
671,22,5163
672,0,5171
673,38,5129
674,38,5125
675,9,5112
676,43,5071
677,10,5053
678,2,5059
679,59,5038
680,6,5029
681,0,5019
682,43,5031
683,25,5003
684,0,4998
685,5,4999
686,9,4980
687,1,4984
688,2,4996
689,2,4981
690,0,4974
691,2,4991
692,0,4994
693,0,4993
694,0,4986
695,8,4929
696,0,4956
697,0,4923
698,0,4933
699,0,4935
700,0,4931
701,22,4924
702,7,4924
703,3,4911
704,8,4901
705,0,4919
706,0,4914
707,0,4900
708,0,4890
709,0,4879
710,0,4879
711,0,4886
712,0,4881
713,0,4886
714,0,4886
715,0,4889
716,0,4901
717,0,4903
718,0,4887
719,0,4895
720,14,4796
721,0,4809
722,0,4801
723,0,4785
724,0,4778
725,0,4804
726,0,4817
727,0,4830
728,0,4840
729,0,4829
730,0,4829
731,0,4810
732,0,4804
733,0,4798
734,0,4791
735,0,4784
736,0,4793
737,0,4788
738,0,4780
739,0,4789
740,9,4777
741,0,4783
742,0,4783
743,0,4780
