Frame Number,Moving Density,Queue Density
1,0,0
2,34,4457
3,34,4479
4,13,4565
5,13,4618
6,33,4654
7,33,4650
8,10,4711
9,47,4700
10,12,4713
11,10,4666
12,51,4612
13,20,4561
14,7,4488
15,93,4477
16,45,4465
17,3,4434
18,70,4461
19,2,4481
20,8,4398
21,92,4421
22,4,4454
23,24,4468
24,97,4477
25,24,4497
26,17,4449
27,61,4426
28,11,4432
29,28,4481
30,25,4477
31,26,4486
32,22,4433
33,0,4431
34,33,4449
35,28,4436
36,12,4445
37,35,4479
38,29,4474
39,40,4475
40,52,4470
41,61,4489
42,54,4494
43,30,4528
44,3,4541
45,50,4552
46,28,4562
47,14,4580
48,42,4590
49,10,4591
50,10,4597
51,2,4605
52,26,4604
53,43,4602
54,3,4604
55,55,4616
56,61,4623
57,1,4619
58,82,4626
59,84,4629
60,0,4619
61,73,4627
62,75,4628
63,0,4629
64,64,4645
65,61,4633
66,0,4649
67,70,4654
68,71,4643
69,0,4639
70,59,4625
71,65,4631
72,0,4633
73,65,4639
74,29,4629
75,0,4634
76,1,4627
77,7,4623
78,0,4640
79,0,4648
80,6,4644
81,0,4646
82,28,4663
83,36,4698
84,7,4730
85,22,4752
86,28,4734
87,26,4748
88,38,4778
89,23,4714
90,27,4710
91,11,4645
92,3,4593
93,12,4573
94,47,4563
95,27,4573
96,35,4610
97,29,4620
98,43,4657
99,36,4640
100,59,4659
101,63,4652
102,23,4652
103,62,4629
104,41,4640
105,24,4673
106,41,4694
107,55,4767
108,88,4782
109,46,4840
110,88,4886
111,77,4916
112,46,4947
113,37,4979
114,89,4974
115,101,4977
116,105,5005
117,88,5033
118,109,5048
119,105,5041
120,102,5077
121,104,5046
122,131,5006
123,68,4981
124,124,4964
125,103,4931
126,39,4946
127,96,4881
128,152,4836
129,2,4823
130,112,4832
131,82,4821
132,0,4814
133,68,4808
134,82,4828
135,4,4837
136,116,4847
137,81,4846
138,0,4823
139,62,4787
140,62,4793
141,0,4812
142,92,4836
143,87,4864
144,0,4845
145,49,4841
146,80,4828
147,0,4830
148,20,4804
149,8,4799
150,0,4787
151,0,4789
152,3,4763
153,0,4764
154,0,4750
155,5,4750
156,0,4750
157,0,4749
158,2,4741
159,0,4739
160,1,4721
161,4,4732
162,0,4737
163,0,4749
164,0,4724
165,0,4740
166,0,4721
167,0,4722
168,0,4707
169,2,4715
170,0,4684
171,0,4659
172,0,4660
173,5,4663
174,0,4652
175,0,4665
176,3,4648
177,0,4646
178,0,4645
179,0,4636
180,0,4649
181,5,4670
182,0,4691
183,0,4685
184,0,4677
185,10,4703
186,0,4690
187,0,4691
188,0,4705
189,0,4711
190,0,4706
191,0,4707
192,0,4694
193,0,4711
194,0,4703
195,0,4695
196,0,4702
197,0,4720
198,0,4700
199,0,4713
200,0,4718
201,0,4713
202,0,4726
203,0,4728
204,0,4721
205,0,4732
206,0,4724
207,0,4728
208,0,4723
209,0,4721
210,0,4717
211,0,4721
212,0,4712
213,0,4716
214,0,4714
215,0,4701
216,0,4700
217,0,4702
218,0,4700
219,0,4699
220,0,4682
221,0,4672
222,1,4674
223,0,4662
224,0,4665
225,0,4672
226,0,4669
227,0,4673
228,0,4680
229,0,4682
230,0,4680
231,0,4691
232,0,4691
233,0,4694
234,0,4699
235,4,4697
236,0,4697
237,0,4708
238,0,4704
239,0,4695
240,0,4687
241,4,4661
242,0,4661
243,0,4664
244,0,4666
245,0,4661
246,0,4669
247,0,4670
248,0,4673
249,0,4667
250,0,4671
251,0,4672
252,0,4681
253,0,4688
254,1,4688
255,0,4683
256,0,4683
257,0,4676
258,0,4682
259,0,4680
260,0,4677
261,0,4671
262,0,4676
263,0,4675
264,0,4679
265,0,4682
266,0,4676
267,0,4682
268,0,4685
269,0,4690
270,0,4660
271,0,4662
272,0,4663
273,0,4663
274,0,4662
275,0,4671
276,0,4688
277,0,4688
278,0,4688
279,0,4683
280,0,4673
281,0,4671
282,0,4678
283,0,4675
284,0,4672
285,0,4668
286,0,4670
287,0,4664
288,0,4675
289,0,4686
290,0,4693
291,0,4691
292,0,4694
293,0,4698
294,0,4699
295,0,4696
296,0,4693
297,0,4690
298,0,4688
299,0,4704
300,0,4698
301,0,4696
302,0,4701
303,0,4690
304,0,4702
305,0,4704
306,0,4708
307,0,4705
308,0,4710
309,0,4713
310,0,4707
311,0,4712
312,0,4701
313,0,4707
314,0,4706
315,0,4705
316,0,4708
317,0,4710
318,0,4709
319,2,4698
320,6,4664
321,0,4668
322,0,4667
323,0,4665
324,0,4659
325,0,4668
326,0,4666
327,0,4678
328,0,4681
329,0,4677
330,0,4676
331,0,4681
332,0,4683
333,0,4682
334,0,4682
335,0,4684
336,0,4687
337,0,4685
338,0,4685
339,0,4691
340,0,4701
341,0,4719
342,5,4728
343,0,4722
344,2,4725
345,11,4739
346,0,4738
347,0,4741
348,0,4748
349,0,4742
350,0,4729
351,1,4719
352,0,4710
353,0,4694
354,13,4690
355,0,4697
356,0,4710
357,18,4722
358,8,4730
359,0,4729
360,10,4735
361,17,4739
362,50,4750
363,0,4756
364,24,4767
365,18,4763
366,2,4768
367,46,4758
368,60,4749
369,0,4752
370,93,4762
371,75,4769
372,0,4764
373,67,4772
374,65,4763
375,0,4758
376,80,4765
377,67,4772
378,0,4763
379,56,4760
380,13,4760
381,0,4763
382,10,4761
383,1,4755
384,0,4751
385,3,4756
386,3,4757
387,12,4758
388,0,4757
389,2,4759
390,14,4757
391,0,4772
392,11,4778
393,17,4781
394,5,4777
395,7,4792
396,40,4791
397,4,4773
398,15,4786
399,70,4774
400,33,4763
401,42,4769
402,83,4783
403,43,4781
404,47,4778
405,77,4771
406,53,4761
407,63,4726
408,44,4723
409,54,4727
410,38,4731
411,48,4747
412,23,4745
413,30,4756
414,32,4746
415,34,4759
416,44,4771
417,24,4740
418,55,4730
419,44,4758
420,34,4759
421,47,4767
422,81,4783
423,73,4791
424,93,4769
425,65,4768
426,67,4763
427,124,4754
428,136,4752
429,65,4755
430,88,4736
431,90,4687
432,78,4699
433,133,4700
434,151,4713
435,51,4696
436,110,4682
437,123,4644
438,21,4654
439,112,4648
440,136,4653
441,18,4669
442,100,4661
443,96,4623
444,7,4628
445,87,4557
446,166,4520
447,0,4525
448,192,4528
449,229,4532
450,0,4522
451,192,4509
452,190,4494
453,0,4503
454,162,4468
455,164,4455
456,0,4449
457,90,4460
458,75,4458
459,0,4467
460,29,4476
461,1,4447
462,0,4443
463,0,4432
464,1,4423
465,0,4433
466,0,4422
467,0,4429
468,0,4420
469,0,4411
470,5,4333
471,0,4339
472,0,4347
473,0,4343
474,0,4373
475,0,4347
476,0,4354
477,0,4352
478,0,4343
479,0,4341
480,0,4346
481,0,4320
482,0,4327
483,0,4314
484,0,4330
485,0,4342
486,0,4326
487,0,4310
488,0,4302
489,0,4310
490,0,4311
491,0,4311
492,0,4291
493,0,4301
494,0,4316
495,0,4249
496,0,4277
497,0,4266
498,0,4264
499,22,4260
500,30,4249
501,43,4227
502,16,4198
503,25,4232
504,61,4258
505,37,4360
506,91,4429
507,185,4468
508,53,4529
509,69,4537
510,190,4561
511,68,4600
512,57,4630
513,194,4634
514,73,4705
515,72,4691
516,137,4696
517,24,4661
