Frame Number,Moving Density,Queue Density
1,0,0
2,34,4432
3,35,4463
4,10,4545
5,15,4606
6,21,4643
7,6,4659
8,10,4687
9,44,4676
10,8,4696
11,5,4640
12,35,4579
13,15,4561
14,13,4475
15,94,4459
16,47,4469
17,8,4451
18,27,4480
19,3,4500
20,10,4457
21,74,4458
22,6,4498
23,33,4503
24,102,4520
25,35,4540
26,12,4511
27,68,4496
28,12,4475
29,31,4497
30,23,4504
31,30,4529
32,44,4470
33,0,4472
34,33,4476
35,27,4487
36,12,4478
37,32,4508
38,24,4492
39,39,4485
40,54,4490
41,64,4494
42,55,4509
43,31,4532
44,1,4546
45,56,4549
46,31,4578
47,24,4575
48,38,4606
49,21,4592
50,44,4607
51,3,4607
52,36,4614
53,46,4616
54,4,4618
55,57,4626
56,58,4642
57,2,4646
58,80,4650
59,82,4661
60,0,4650
61,69,4653
62,75,4669
63,0,4668
64,61,4657
65,68,4656
66,0,4663
67,73,4668
68,71,4664
69,0,4656
70,54,4640
71,67,4635
72,0,4636
73,61,4642
74,29,4626
75,0,4629
76,2,4648
77,7,4635
78,0,4646
79,0,4662
80,9,4657
81,0,4673
82,25,4677
83,32,4708
84,7,4746
85,20,4766
86,30,4744
87,28,4750
88,34,4773
89,27,4716
90,24,4696
91,10,4653
92,2,4595
93,12,4589
94,42,4594
95,33,4625
96,35,4651
97,34,4685
98,47,4704
99,43,4712
100,72,4706
101,64,4708
102,24,4715
103,66,4708
104,59,4707
105,30,4718
106,35,4728
107,43,4815
108,88,4842
109,41,4901
110,93,4938
111,80,4980
112,65,5008
113,48,5042
114,83,5055
115,87,5045
116,107,5060
117,84,5080
118,98,5071
119,111,5097
120,89,5105
121,97,5065
122,131,5054
123,57,5019
124,138,4976
125,85,4947
126,28,4937
127,91,4878
128,140,4849
129,1,4833
130,118,4826
131,69,4809
132,0,4823
133,67,4825
134,85,4862
135,1,4856
136,100,4890
137,74,4891
138,0,4844
139,67,4822
140,61,4829
141,0,4850
142,96,4875
143,77,4904
144,1,4908
145,62,4906
146,77,4885
147,0,4885
148,26,4875
149,10,4854
150,0,4842
151,2,4828
152,3,4799
153,0,4801
154,2,4771
155,8,4782
156,0,4779
157,2,4792
158,1,4768
159,0,4774
160,0,4780
161,7,4763
162,0,4760
163,0,4767
164,0,4765
165,0,4763
166,1,4758
167,0,4771
168,0,4781
169,0,4776
170,1,4742
171,0,4729
172,0,4721
173,6,4685
174,0,4673
175,0,4680
176,1,4662
177,0,4669
178,0,4676
179,0,4677
180,0,4691
181,0,4710
182,0,4731
183,0,4731
184,0,4718
185,12,4732
186,0,4717
187,1,4715
188,0,4724
189,0,4729
190,0,4725
191,0,4721
192,0,4725
193,0,4729
194,0,4734
195,0,4729
196,0,4734
197,0,4751
198,0,4748
199,0,4738
200,0,4742
201,0,4739
202,0,4745
203,0,4751
204,0,4766
205,0,4764
206,1,4750
207,0,4747
208,0,4741
209,0,4740
210,0,4741
211,0,4745
212,0,4744
213,0,4744
214,0,4733
215,0,4734
216,0,4729
217,0,4726
218,0,4720
219,0,4718
220,0,4711
221,0,4706
222,1,4707
223,0,4704
224,0,4712
225,0,4718
226,0,4715
227,0,4717
228,0,4719
229,0,4715
230,0,4713
231,0,4712
232,0,4719
233,0,4729
234,0,4723
235,3,4731
236,0,4734
237,0,4742
